# 3C48
# Date 31Jan/01Feb 2019 polarization properties
# Reference flux densities were used
# Frequency       I     P.F.  	  P.A.
# (GHz)         (Jy)         	 (rad)
1.022		20.68	0.00293	 0.07445
1.465		15.62	0.00457	-0.60282
1.865		12.88	0.00897	 0.39760
2.565		9.82	0.01548	-1.97046
3.565		7.31	0.02911	-1.46542
4.885		5.48	0.04286	-1.24875
6.680		4.12	0.05356	-1.15533
8.435		3.34	0.05430	-1.10638
11.320		2.56	0.05727	-1.08602
14.065		2.14	0.06097	-1.09597
16.564		1.86	0.06296	-1.11891
19.064		1.67	0.06492	-1.18266
25.564		1.33	0.07153	-1.25369
32.064		1.11	0.06442	-1.32430
37.064		1.00	0.06686	-1.33697
42.064		0.92	0.05552	-1.46381
48.064		0.82	0.06773	-1.46412
